geneID	epidermis	cortex	columella	stelle	endodermis
AT1G01010	20.7048	6.921819999999999	4.38227	2.54411	36.226459999999996
AT1G01020	14.1735	18.5745	17.7778	25.0419	17.5134
AT1G01030	0.7086359999999999	3.27137	1.57606	0.671469	4.528795
AT1G01040	1.12199	2.22749	3.80544	6.3583300000000005	4.48677
AT1G01046	0.176446	0.259984	1.47907	1.1822	1.1075244999999998
AT1G01050	86.7392	140.64	110.90899999999999	85.6639	94.7414
AT1G01060	6.716139999999999	36.3155	66.6292	36.1562	34.29475
AT1G01070	0.26601199999999997	0.872467	1.8161200000000002	0.953369	5.0448125
AT1G01073	0.0	0.0	0.0	0.0	0.0
AT1G01080	0.669571	0.906207	4.04366	2.9226400000000003	2.156315
AT1G01090	53.5948	304.668	50.4091	175.972	183.57675
AT1G01100	284.008	503.93199999999996	213.91400000000002	682.2460000000001	494.65700000000004
AT1G01110	5.53627	12.7184	3.45931	29.0224	25.08135
AT1G01115	0.0	0.0	0.0	0.0	0.0
AT1G01120	13.0365	0.9064129999999999	0.190431	0.128575	43.030735
AT1G01130	5.079269999999999	9.90997	0.989603	2.49986	9.233345
AT1G01140	23.5541	2.99464	0.494526	0.5471189999999999	4.63607
AT1G01150	0.0566298	0.01707	0.0544961	0.103828	0.018557499999999998
AT1G01160	11.4014	21.648000000000003	19.271	45.8311	31.38605
AT1G01170	8.8401	5.48455	5.54248	5.758830000000001	7.436755
AT1G01180	2.7937	0.380745	6.00173	0.22181700000000001	0.4358775
AT1G01183	0.0	0.0	0.0	0.0	1.197678
AT1G01190	0.0148986	0.0115887	0.0	0.0350741	0.07623255
AT1G01200	2.0582599999999998	3.98138	0.478602	1.26745	7.20664
AT1G01210	4.6273599999999995	7.2047	6.554130000000001	15.6543	9.287765
AT1G01220	6.15384	14.1918	5.03756	8.97025	7.943245
AT1G01225	3.0743099999999997	5.13339	1.35311	5.9209	4.832735
AT1G01230	48.553999999999995	58.1946	54.7579	38.3835	53.12845
